"","Rank","Name","Growth_Rate","Revenue","Industry","Employees","City","State","state","city","lon","lat"
"51",51,"Madwire Media",52.54,6900000,"Advertising & Marketing",94,"Loveland","CO","CO","Loveland",-105.0749801,40.3977612
"52",52,"Eventus Solutions Group",52.21,6400000,"Business Products & Services",22,"Englewood","CO","CO","Englewood",-104.9877597,39.6477653
"53",53,"LabTech Software",52.08,23100000,"Software",152,"Tampa","FL","FL","Tampa",-82.4571776,27.950575
"54",54,"Altitude Digital",51.62,11400000,"Advertising & Marketing",21,"Denver","CO","CO","Denver",-104.990251,39.7392358
"55",55,"DSFederal",51.51,9400000,"Government Services",70,"Gaithersburg","MD","MD","Gaithersburg",-77.2016062,39.1439689
"56",56,"Pinnacle Strategies",51.34,7e+06,"Business Products & Services",17,"Plano","TX","TX","Plano",-96.6988856,33.0198431
"57",57,"Lead5 Media",50.16,35600000,"Advertising & Marketing",33,"Newark","CA","CA","Newark",-74.1723667,40.735657
"58",58,"eGumball",50.15,9600000,"Advertising & Marketing",125,"Irvine","CA","CA","Irvine",-117.8265049,33.6845673
"59",59,"Doc Popcorn",50.11,7200000,"Retail",18,"Boulder","CO","CO","Boulder",-105.2705456,40.0149856
"60",60,"Red Frog Events",49.57,49500000,"Consumer Products & Services",83,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"61",61,"MHD Enterprises",49.42,7200000,"Business Products & Services",27,"Austin","TX","TX","Austin",-97.7430608,30.267153
"62",62,"Wilson Legal Solutions",48.39,5500000,"IT Services",30,"Newtown Square","PA","PA","Newtown Square",-75.4007058,39.9868904
"63",63,"HasOffers",48.37,7300000,"Advertising & Marketing",57,"Seattle","WA","WA","Seattle",-122.3320708,47.6062095
"64",64,"GSC Packaging",48.13,112600000,"Manufacturing",300,"Atlanta","GA","GA","Atlanta",-84.3879824,33.7489954
"65",65,"ethosIQ",47.68,6900000,"Business Products & Services",118,"Houston","TX","TX","Houston",-95.3698028,29.7604267
"66",66,"Celebrity Auto Group",47.45,16200000,"Consumer Products & Services",6,"Sarasota","FL","FL","Sarasota",-82.5306527,27.3364347
"67",67,"Crescendo Bioscience",47.4,5500000,"Health",103,"South San Francisco","CA","CA","South San Francisco",-122.4077498,37.654656
"68",68,"ReTargeter",47.39,6500000,"Advertising & Marketing",35,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"69",69,"C-4 Analytics",46.46,4900000,"Advertising & Marketing",32,"Saugus","MA","MA","Saugus",-71.0110473,42.4651421
"70",70,"33Across",44.99,27900000,"Advertising & Marketing",75,"New York","NY","NY","New York",-74.0059728,40.7127753
"71",71,"LiveIntent",44.85,6900000,"Advertising & Marketing",42,"New York","NY","NY","New York",-74.0059728,40.7127753
"72",72,"Rocket Fuel",44.51,106600000,"Advertising & Marketing",289,"Redwood City","CA","CA","Redwood City",-122.2363548,37.4852152
"73",73,"iSend",44.41,105800000,"Financial Services",15,"Middlebury","CT","CT","Middlebury",-73.16734,44.0153371
"74",74,"BidPal",43.23,10200000,"Business Products & Services",88,"Indianapolis","IN","IN","Indianapolis",-86.158068,39.768403
"75",75,"Equinox Business Solutions",42.35,82600000,"Business Products & Services",140,"Salt Lake City","UT","UT","Salt Lake City",-111.8910474,40.7607793
"76",76,"Dito",42,4500000,"IT Services",30,"Manassas","VA","VA","Manassas",-77.4752667,38.7509488
"77",77,"Bio Soil Enhancers",40.87,4900000,"Manufacturing",19,"Hattiesburg","MS","MS","Hattiesburg",-89.2903392,31.3271189
"78",78,"Janes Capital Partners",40.54,7500000,"Financial Services",10,"Irvine","CA","CA","Irvine",-117.8265049,33.6845673
"79",79,"RestoreHealth",40.39,4900000,"Health",45,"Madison","WI","WI","Madison",-89.4012302,43.0730517
"80",80,"Matt Martin Real Estate Management",39.82,31700000,"Real Estate",114,"Frisco","TX","TX","Frisco",-96.8236116,33.1506744
"81",81,"Celerity Ventures",39.6,15800000,"Real Estate",7,"Alexandria","VA","VA","Alexandria",-77.0469214,38.8048355
"82",82,"ASE Direct",39.24,26200000,"Government Services",17,"Brentwood","TN","TN","Brentwood",-121.6957863,37.931868
"83",83,"Evolving Wisdom",39.24,6700000,"Education",29,"San Rafael","CA","CA","San Rafael",-122.5310874,37.9735346
"84",84,"Next Step Living",38.9,29400000,"Energy",460,"Boston","MA","MA","Boston",-71.0588801,42.3600825
"85",85,"Vital Farms",38.78,9700000,"Food & Beverage",30,"Austin","TX","TX","Austin",-97.7430608,30.267153
"86",86,"C-DM Network",38.55,5500000,"Construction",19,"Addison","TX","TX","Addison",-96.8291685,32.96179
"87",87,"SalesStaff",38.33,4100000,"Business Products & Services",60,"Stafford","TX","TX","Stafford",-77.4083086,38.4220687
"88",88,"WellDog",37.58,8e+06,"Energy",42,"Laramie","WY","WY","Laramie",-105.5911007,41.3113669
"89",89,"SKM Media Group",37.52,1.2e+07,"Advertising & Marketing",20,"Boca Raton","FL","FL","Boca Raton",-80.1289321,26.3683064
"90",90,"Spoken Communications",37.34,10200000,"Telecommunications",37,"Bellevue","WA","WA","Bellevue",-122.2015159,47.6101497
"91",91,"Sol Systems",37.16,9100000,"Energy",16,"Washington","DC","DC","Washington",-120.7401385,47.7510741
"92",92,"Elevate Technology Solutions",36.01,16900000,"IT Services",120,"Rockland","MA","MA","Rockland",-70.9161551,42.1306563
"93",93,"Build Group",35.91,101500000,"Construction",158,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"94",94,"Alex and Ani",35.69,79800000,"Retail",613,"Cranston","RI","RI","Cranston",-71.4372796,41.7798226
"95",95,"Onsite OHS",35.68,33200000,"Health",228,"Princeton","IN","IN","Princeton",-74.6550739,40.3430942
"96",96,"CoverMyMeds",35.67,5300000,"Health",35,"Twinsburg","OH","OH","Twinsburg",-81.4401129,41.3125552
"97",97,"Discovery Services",35.08,16600000,"Business Products & Services",307,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"98",98,"VRx",34.79,72400000,"Health",67,"Salt Lake City","UT","UT","Salt Lake City",-111.8910474,40.7607793
"99",99,"Marketplace Homes",34.73,19400000,"Real Estate",73,"Livonia","MI","MI","Livonia",-83.3527097,42.36837
"100",100,"Centerplan Construction",34.63,56400000,"Construction",43,"Middletown","CT","CT","Middletown",-72.6506488,41.5623209
"101",101,"BlueSquare Resolutions",34.58,14300000,"Financial Services",14,"Scottsdale","AZ","AZ","Scottsdale",-111.9260519,33.4941704
"102",102,"The Logistics Store",34.5,7100000,"Logistics & Transportation",11,"Liberty","MO","MO","Liberty",-95.5947005,37.1556278
"103",103,"CashStar",34.14,9700000,"Software",96,"Portland","ME","ME","Portland",-122.6750261,45.5051064
"104",104,"WebiMax",33.67,8400000,"Advertising & Marketing",125,"Mount Laurel","NJ","NJ","Mount Laurel",-74.8909988,39.934002
"105",105,"Touchsuite",33.38,13400000,"Software",43,"Boca Raton","FL","FL","Boca Raton",-80.1289321,26.3683064
"106",106,"AKVARR",33.1,5100000,"IT Services",65,"Fairfax","VA","VA","Fairfax",-77.3063733,38.8462236
"107",107,"Analytic Strategies",33.06,5400000,"Government Services",33,"Vienna","VA","VA","Vienna",16.3738189,48.2081743
"108",108,"Apartment List",31.91,10300000,"Real Estate",32,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"109",109,"Acquia",31.31,45400000,"Software",263,"Burlington","MA","MA","Burlington",-95.9199116,36.135688
"110",110,"Axcient",31.16,9700000,"Security",96,"Mountain View","CA","CA","Mountain View",-122.0838511,37.3860517
"111",111,"Datto",31.01,25200000,"Security",125,"Norwalk","CT","CT","Norwalk",-73.4081575,41.117744
"112",112,"Command Post Technologies",30.95,7200000,"Government Services",31,"Suffolk","VA","VA","Suffolk",-76.5835621,36.7282054
"113",113,"Sustainable Supply",30.61,3200000,"Retail",7,"Milwaukee","WI","WI","Milwaukee",-87.9064736,43.0389025
"114",114,"Oceanhouse Media",30.55,3900000,"Software",10,"Encinitas","CA","CA","Encinitas",-117.2919818,33.0369867
"115",115,"Rapier Solutions",30.51,6200000,"IT Services",51,"Matthews","NC","NC","Matthews",-80.7236804,35.1168131
"116",116,"Econohomes",30.41,42700000,"Real Estate",73,"Austin","TX","TX","Austin",-97.7430608,30.267153
"117",117,"Green Box Foods",30.2,251100000,"Food & Beverage",221,"Norcross","GA","GA","Norcross",-84.2135309,33.9412127
"118",118,"BMA",29.98,9e+06,"Government Services",75,"Leavenworth","KS","KS","Leavenworth",-120.6614765,47.5962326
"119",119,"Dashed",29.84,4600000,"Business Products & Services",92,"Brighton","MA","MA","Brighton",-93.214116,36.644055
"120",120,"Puppet Labs",29.75,8800000,"Software",107,"Portland","OR","OR","Portland",-122.6750261,45.5051064
"121",121,"Orgain",29.71,9e+06,"Food & Beverage",6,"Tustin","CA","CA","Tustin",-117.8236391,33.7420005
"122",122,"US Perishables",29.65,4e+06,"Logistics & Transportation",10,"Oakland","CA","CA","Oakland",-122.2711639,37.8043514
"123",123,"Asentra",29.63,12100000,"Advertising & Marketing",24,"Trumbull","CT","CT","Trumbull",-73.2006639,41.2428563
"124",124,"Quantum Networks",29.44,11500000,"Telecommunications",28,"New York","NY","NY","New York",-74.0059728,40.7127753
"125",125,"FuzeBox",29.33,8800000,"Business Products & Services",132,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"126",126,"Renegade Furniture Group",29.26,9800000,"Retail",17,"Hewlett","NY","NY","Hewlett",-73.6956864,40.6431591
"127",127,"GreenCupboards",28.98,13100000,"Retail",56,"Spokane","WA","WA","Spokane",-117.4260465,47.6587802
"128",128,"Target Freight Management",28.96,23900000,"Logistics & Transportation",24,"Pittsburgh","PA","PA","Pittsburgh",-79.9958864,40.4406248
"129",129,"Maestro Technologies",28.32,5200000,"IT Services",66,"Edison","NJ","NJ","Edison",-97.2424044,37.727185
"130",130,"Advice Interactive Group",28.08,3200000,"Advertising & Marketing",31,"McKinney","TX","TX","McKinney",-96.6389342,33.1983388
"131",131,"Netcom3 Global",27.73,23700000,"Software",12,"Laguna Niguel","CA","CA","Laguna Niguel",-117.7149438,33.5236744
"132",132,"Buy Happier",27.72,20600000,"Retail",32,"Morton Grove","IL","IL","Morton Grove",-87.7825621,42.0405852
"133",133,"The Millennium Group International",27.58,4500000,"Government Services",25,"Sterling","VA","VA","Sterling",-71.7606293,42.4374156
"134",134,"Viderity",27.41,10700000,"Government Services",28,"Washington","DC","DC","Washington",-120.7401385,47.7510741
"135",135,"I.T. Source",27.38,84500000,"Business Products & Services",34,"Los Angeles","CA","CA","Los Angeles",-118.2436849,34.0522342
"136",136,"Videology",27.27,137500000,"Advertising & Marketing",321,"Baltimore","MD","MD","Baltimore",-76.6121893,39.2903848
"137",137,"STAR Collaborative",26.96,1.4e+07,"Human Resources",5,"Plymouth","MN","MN","Plymouth",-70.6672621,41.9584457
"138",138,"All Around Property Preservation",26.87,10800000,"Construction",15,"Medina","MN","MN","Medina",39.5691841,24.5246542
"139",139,"Populus",26.85,3e+06,"Energy",30,"Boulder","CO","CO","Boulder",-105.2705456,40.0149856
"140",140,"Astrum Solar",26.65,4.1e+07,"Energy",200,"Annapolis Junction","MD","MD","Annapolis Junction",-76.7769324,39.1202934
"141",141,"StartFinder",26.59,2800000,"Human Resources",29,"Rockville","MD","MD","Rockville",-77.1527578,39.0839973
"142",142,"Cloud Sherpas",26.33,75300000,"IT Services",532,"Atlanta","GA","GA","Atlanta",-84.3879824,33.7489954
"143",143,"Apex Resources",26.25,22800000,"Manufacturing",3,"Dallas","TX","TX","Dallas",-96.7969879,32.7766642
"144",144,"RMGS",25.99,3900000,"Government Services",23,"Virginia Beach","VA","VA","Virginia Beach",-75.977985,36.8529263
"145",145,"Finch",25.93,2900000,"Software",6,"Lehi","UT","UT","Lehi",-111.8507662,40.3916172
"146",146,"Dhaliwal Laboratories",25.88,8300000,"Manufacturing",49,"Dallas","TX","TX","Dallas",-96.7969879,32.7766642
"147",147,"Business Finance Store",25.86,4e+06,"Financial Services",35,"Santa ana","CA","CA","Santa ana",-117.867653,33.7454725
"148",148,"Monster Flooring Sale",25.56,3800000,"Retail",31,"Carrollton","TX","TX","Carrollton",-96.8899636,32.9756415
"149",149,"Hudl",25.35,14100000,"Software",73,"Lincoln","NE","NE","Lincoln",-95.932911,37.0149484
"150",150,"Rigid Industries",25.28,24100000,"Manufacturing",121,"Gilbert","AZ","AZ","Gilbert",-111.789027,33.3528264
"151",151,"GiftCardRescue.com",25.18,6600000,"Consumer Products & Services",8,"Ellicott City","MD","MD","Ellicott City",-76.7983067,39.2673283
"152",152,"W4",25.15,59800000,"Advertising & Marketing",40,"Santa Monica","CA","CA","Santa Monica",-118.4911912,34.0194543
"153",153,"Regal Wings",25.13,15400000,"Travel & Hospitality",42,"Brooklyn","NY","NY","Brooklyn",-73.9441579,40.6781784
"154",154,"Chicagoland Foreign Investment Group",25.11,3900000,"Financial Services",9,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"155",155,"1st American Systems and Services",24.92,2600000,"Government Services",34,"Falls Church","VA","VA","Falls Church",-77.1710914,38.882334
"156",156,"Extrabux.com",24.92,4600000,"Consumer Products & Services",15,"San Diego","CA","CA","San Diego",-117.1610838,32.715738
"157",157,"SCM Data",24.91,10300000,"IT Services",150,"Jersey City","NJ","NJ","Jersey City",-74.0431435,40.7177545
"158",158,"Mobomo",24.84,2800000,"Software",13,"Bethesda","MD","MD","Bethesda",-77.0947092,38.984652
"159",159,"PropertyRate",24.55,4200000,"Real Estate",7,"Orange","CA","CA","Orange",-117.8531007,33.7879139
"160",160,"Medical Staffing Options",24.44,4600000,"Health",200,"Westerville","OH","OH","Westerville",-82.9318807,40.1266689
"161",161,"Projekt202",24.36,12500000,"Software",73,"Addison","TX","TX","Addison",-96.8291685,32.96179
"162",162,"Summerset Professional Grills",24.29,6100000,"Consumer Products & Services",6,"Costa Mesa","CA","CA","Costa Mesa",-117.9047429,33.6638439
"163",163,"SimplyGlobo",24.23,2600000,"Retail",11,"Villa Park","IL","IL","Villa Park",-87.9889543,41.8897519
"164",164,"BrightSource Energy",24.15,291100000,"Energy",481,"Oakland","CA","CA","Oakland",-122.2711639,37.8043514
"165",165,"EDJ Precision",24.1,4e+06,"Manufacturing",11,"Houston","TX","TX","Houston",-95.3698028,29.7604267
"166",166,"Alternative Technology Solutions",24.07,8800000,"Software",52,"Aliso Viejo","CA","CA","Aliso Viejo",-117.7262981,33.5684605
"167",167,"BayRu",23.9,19500000,"Retail",120,"Morton Grove","IL","IL","Morton Grove",-87.7825621,42.0405852
"168",168,"HUMAN Healthy Vending",23.78,9200000,"Food & Beverage",30,"Los Angeles","CA","CA","Los Angeles",-118.2436849,34.0522342
"169",169,"GSATi",23.67,2500000,"IT Services",23,"Denton","TX","TX","Denton",-97.1330683,33.2148412
"170",170,"TracePoint Consulting",23.55,4900000,"IT Services",18,"Atlanta","GA","GA","Atlanta",-84.3879824,33.7489954
"171",171,"Extreme Reach",23.49,41500000,"Advertising & Marketing",203,"Needham","MA","MA","Needham",-71.2377548,42.2809285
"172",172,"Act-On Software",23.3,9200000,"Software",140,"Beaverton","OR","OR","Beaverton",-122.8013771,45.4888761
"173",173,"CSI Powerline",23.13,1.6e+07,"Energy",140,"Chandler","AZ","AZ","Chandler",-111.8412502,33.3061605
"174",174,"Refinery29",23.01,16600000,"Media",99,"New York","NY","NY","New York",-74.0059728,40.7127753
"175",175,"Clinovations",22.96,12800000,"Health",41,"Washington","DC","DC","Washington",-120.7401385,47.7510741
"176",176,"Mixbook",22.88,25100000,"Retail",60,"Palo Alto","CA","CA","Palo Alto",-122.1430195,37.4418834
"177",177,"Hawkeye Management",22.86,3e+06,"Financial Services",32,"Blackwood","NJ","NJ","Blackwood",-122.4388171,37.8007189
"178",178,"Ticketracker",22.67,2500000,"Software",11,"Anderson","IN","IN","Anderson",-82.6501332,34.5034394
"179",179,"Recondo Technology",22.61,30400000,"Health",251,"Greenwood Village","CO","CO","Greenwood Village",-104.9508141,39.6172101
"180",180,"Sky Zone Indoor Trampoline Park",22.49,50600000,"Retail",2000,"Los Angeles","CA","CA","Los Angeles",-118.2436849,34.0522342
"181",181,"TNH Pharmacy II",22.48,37700000,"Health",20,"Van Nuys","CA","CA","Van Nuys",-118.451357,34.1898566
"182",182,"Streamline Defense",22.36,6300000,"Government Services",60,"Tampa","FL","FL","Tampa",-82.4571776,27.950575
"183",183,"First Flight Solutions",22.32,2700000,"Logistics & Transportation",NA,"Emerald Isle","NC","NC","Emerald Isle",-76.9507762,34.6779399
"184",184,"WordStream",22.25,3400000,"Advertising & Marketing",56,"Boston","MA","MA","Boston",-71.0588801,42.3600825
"185",185,"IT Strategic Performance Firm",22.25,3500000,"IT Services",38,"San Antonio","TX","TX","San Antonio",-98.4936282,29.4241219
"186",186,"Ad-Juster",22.18,2800000,"Software",18,"Poway","CA","CA","Poway",-117.0358646,32.9628232
"187",187,"EnSite Solutions",22.07,10600000,"Business Products & Services",14,"Irving","TX","TX","Irving",-96.9488945,32.8140177
"188",188,"NextWorth Solutions",21.95,31100000,"Consumer Products & Services",20,"Billerica","MA","MA","Billerica",-71.2689461,42.5584218
"189",189,"Omatic Software",21.92,5e+06,"Software",22,"North Charleston","SC","SC","North Charleston",-80.0130514,32.8771106
"190",190,"Advocate Merchant Solutions",21.78,3700000,"Financial Services",75,"Fishers","IN","IN","Fishers",-86.01335,39.9567548
"191",191,"Greenphire",21.78,5400000,"Software",42,"King of Prussia","PA","PA","King of Prussia",-75.3835525,40.1012856
"192",192,"Wall Street Network Solutions",21.56,7700000,"Telecommunications",12,"Parsippany","NJ","NJ","Parsippany",-74.4173877,40.8652865
"193",193,"S2Verify",21.42,4400000,"Human Resources",15,"Roswell","GA","GA","Roswell",-104.5230242,33.3942655
"194",194,"Target Logistics",21.31,121900000,"Business Products & Services",450,"Boston","MA","MA","Boston",-71.0588801,42.3600825
"195",195,"Virtual Enterprise Architects",21.27,3800000,"IT Services",23,"Washington","DC","DC","Washington",-120.7401385,47.7510741
"196",196,"Titan Protection and Consulting",21.17,2400000,"Security",158,"Overland Park","KS","KS","Overland Park",-94.6707917,38.9822282
"197",197,"Evolution Capital Partners",21.17,2700000,"Financial Services",5,"Cleveland","OH","OH","Cleveland",-81.6943605,41.49932
"198",198,"Glass Mountain Capital",21.12,6900000,"Financial Services",140,"Schaumburg","IL","IL","Schaumburg",-88.0834059,42.0333607
"199",199,"SiiBER",20.95,2500000,"Retail",7,"Fort Wayne","IN","IN","Fort Wayne",-85.1393513,41.079273
"200",200,"iSirona",20.92,17200000,"Health",106,"Panama City","FL","FL","Panama City",-85.6602058,30.1588129
"201",201,"Cell Phone Repair",20.91,7500000,"Retail",45,"Orlando","FL","FL","Orlando",-81.3792365,28.5383355
"202",202,"Silencerco",20.84,6300000,"Consumer Products & Services",51,"West Valley City","UT","UT","West Valley City",-112.0010501,40.6916132
"203",203,"CWU",20.62,10200000,"Government Services",474,"Clearwater","FL","FL","Clearwater",-82.8001026,27.9658533
"204",204,"AudioMicro",20.53,2200000,"Media",5,"Sherman Oaks","CA","CA","Sherman Oaks",-118.451357,34.1489719
"205",205,"ReconCraft",20.45,2200000,"Manufacturing",12,"Newton","MA","MA","Newton",-71.2092214,42.3370413
"206",206,"TEEMA Consulting Group",20.42,3e+07,"Human Resources",90,"irvine","CA","CA","irvine",-117.8265049,33.6845673
"207",207,"Solomon Consulting Group",20.27,2200000,"IT Services",20,"Overland Park","KS","KS","Overland Park",-94.6707917,38.9822282
"208",208,"GarbageMan, A Green Company",20.18,8900000,"Consumer Products & Services",49,"Plymouth","MN","MN","Plymouth",-70.6672621,41.9584457
"209",209,"TheraPearl",20.17,5e+06,"Consumer Products & Services",16,"Jessup","MD","MD","Jessup",-76.7752493,39.1492746
"210",210,"Landmark Network",20.04,7500000,"Real Estate",57,"Sherman Oaks","CA","CA","Sherman Oaks",-118.451357,34.1489719
"211",211,"TaskUs",19.99,3900000,"Business Products & Services",424,"Santa Monica","CA","CA","Santa Monica",-118.4911912,34.0194543
"212",212,"NTE Solutions",19.97,4400000,"Energy",16,"St. Augustine","FL","FL","St. Augustine",-81.3124341,29.9012437
"213",213,"Arocon Roofing and Construction",19.82,8800000,"Construction",50,"Westminster","MD","MD","Westminster",-105.0372046,39.8366528
"214",214,"The Brixton Group",19.75,20900000,"IT Services",11,"Waxhaw","NC","NC","Waxhaw",-80.7434019,34.9245935
"215",215,"FreeAlliance.com",19.52,2600000,"Government Services",7,"Washington","DC","DC","Washington",-120.7401385,47.7510741
"216",216,"BWBacon Group",19.49,3600000,"Human Resources",6,"Denver","CO","CO","Denver",-104.990251,39.7392358
"217",217,"Sovereign Lending Group",19.45,6200000,"Financial Services",49,"Irvine","CA","CA","Irvine",-117.8265049,33.6845673
"218",219,"Novisync Solutions",19.28,7500000,"IT Services",119,"Fishkill","NY","NY","Fishkill",-73.8990252,41.5356492
"219",220,"Snap Advances",19.25,21900000,"Financial Services",40,"Salt Lake City","UT","UT","Salt Lake City",-111.8910474,40.7607793
"220",221,"Dane Street",19.22,9400000,"Health",81,"Boston","MA","MA","Boston",-71.0588801,42.3600825
"221",222,"OpenX",19.21,1.54e+08,"Advertising & Marketing",264,"Pasadena","CA","CA","Pasadena",-118.1445155,34.1477849
"222",223,"Quick Left",19.17,2800000,"Software",20,"Boulder","CO","CO","Boulder",-105.2705456,40.0149856
"223",224,"Titan Electric Company",19.16,6800000,"Construction",50,"Charlotte","NC","NC","Charlotte",-80.8431267,35.2270869
